index,galaxyID,redshift,lum_disk_g_abs,lum_disk_r_abs,lum_disk_i_abs,lum_disk_z_abs,lum_bulge_g_abs,lum_bulge_r_abs,lum_bulge_i_abs,lum_bulge_z_abs,lum_disk_g,lum_disk_r,lum_disk_i,lum_disk_z,lum_bulge_g,lum_bulge_r,lum_bulge_i,lum_bulge_z,mag_g,mag_r,mag_i,mag_z,lum_g_abs,lum_r_abs,lum_i_abs,lum_z_abs,mag_g_,mag_r_,mag_i_,mag_z_,mag_bulge_g,mag_bulge_r,mag_bulge_i,mag_bulge_z,mag_disk_g,mag_disk_r,mag_disk_i,mag_disk_z,adu_bulge_g,adu_bulge_r,adu_bulge_i,adu_bulge_z,adu_disk_g,adu_disk_r,adu_disk_i,adu_disk_z,hlr_disk,hlr_bulge,sersic_disk,sersic_bulge,axisratio_disk,axisratio_bulge,beta,lum_bulge,lum_disk,bt_flux_ratio,bd_flux_ratio,sed_bulge_orig_g,sed_bulge_orig_r,sed_bulge_orig_i,sed_bulge_orig_z,sed_disk_orig_g,sed_disk_orig_r,sed_disk_orig_i,sed_disk_orig_z,histID,angledist
2,1250000082,0.0452765155451642,9615728.0,12866895.0,15258295.0,17374372.0,3016360.0,5817295.5,7914149.5,9695151.0,2.4523761200737526e-08,3.2815473690969385e-08,3.89144518117981e-08,4.43112519423364e-08,7.692864475311345e-09,1.4836314238796937e-08,2.018408994317581e-08,2.4726319324177887e-08,18.701014,18.276016,18.042273,17.8735,12632088.0,18684190.0,23172444.0,27069524.0,18.68172164870842,18.25672384215935,18.02298065139397,17.85420771552666,20.23670192672356,19.523607453838427,19.18939944221123,18.969023189083178,18.97795434905632,18.661725482479174,18.47664471580132,18.33563681556328,8041.16973319248,15508.043783292816,21097.948268384807,25845.84433794273,25634.110989701298,34301.23895803156,40676.36293554744,46317.5174467334,1.682068320614729,0.866574688234659,1.0,4.0,0.17320518,0.84994644,6.2971716,6.743958798146198e-08,1.405649386458414e-07,0.3242217324544015,0.4797752357681343,0.1140704613899308,0.2199940765226371,0.2992913684462255,0.3666440936412065,0.1744656997938751,0.2334541525943373,0.2768432315624697,0.3152369160493177,5,0.1536191854169168
4,1250000123,0.0440018051051493,26564446.0,36035750.0,43049444.0,48754120.0,4478440.5,8300431.5,11143380.0,13450904.0,7.186934215756883e-08,9.749368720854969e-08,1.1646903192175798e-07,1.3190286045878468e-07,1.2116291601367916e-08,2.245657693363976e-08,3.01480935383507e-08,3.639103253654367e-08,17.830261,17.44327,17.225311,17.075602,31042886.0,44336184.0,54192824.0,62205024.0,17.642734749212842,17.255744440451245,17.037785751715283,16.88807557334004,19.744822485342603,19.07488773573933,18.755096895590405,18.550761444464307,17.81188796271382,17.480805618658643,17.287721140280347,17.152611715689282,12649.43145027257,23444.71219248293,31474.674085548813,37992.28567867775,75031.70492447028,101783.58713297668,121593.8315873136,137706.7769658646,1.1684522640244843,0.7275282587013845,1.0,4.0,0.8042837,0.9571651,179.13817,1.0111199460990205e-07,4.177349217466612e-07,0.1948782799364574,0.2420482795036395,0.1198304208843264,0.222096126658451,0.2981654517592604,0.3599080006979621,0.1720453320308089,0.2333865538735574,0.278810819364909,0.3157572947307247,7,0.1328491094597149
10,1250000604,0.0558272760972651,26615116.0,35370536.0,41717196.0,47231884.0,6840004.0,13043296.0,17675104.0,21503148.0,4.394895446701288e-08,5.84065863775896e-08,6.888668557917488e-08,7.799296383163247e-08,1.129474725124457e-08,2.1538106569713465e-08,2.9186508807495336e-08,3.550767251391287e-08,18.184671,17.783405,17.561502,17.402884,33455120.0,48413830.0,59392300.0,68735030.0,18.08531062852769,17.684043815249492,17.46214168321519,17.30352180253892,19.80882661592393,19.10799877893357,18.77806203615098,18.56521265756517,18.333646228426986,18.02486317407517,17.845679690951396,17.71087901842027,11925.301109573951,22740.5250839338,30815.92337386882,37489.956540455874,46402.51380633764,61667.27108825092,72732.43434929173,82347.11579681425,1.853947551481264,0.983630499823266,1.0,4.0,0.9455196,0.9869152,135.30731,9.752703514236625e-08,2.492351902554098e-07,0.2812504592462213,0.3913052111338547,0.1158114355907216,0.2208424619100689,0.2992659298234628,0.3640801726757466,0.1763352880947305,0.2343432525820915,0.2763922406949805,0.3129292186281973,15,0.15421696041590593
13,1250000629,0.0716117599982806,25368996.0,34093330.0,39816324.0,42982924.0,2074149.4,3744078.8,4946423.0,5692387.5,2.4877319955857213e-08,3.3432565421339926e-08,3.904464590257408e-08,4.214987128170898e-08,2.0339504007401047e-09,3.6715148224548845e-09,4.850556536773978e-09,5.582063183744293e-09,18.871283,18.522564,18.340076,18.249096,27443146.0,37837410.0,44762748.0,48675310.0,18.850070226187103,18.501352059835785,18.31886409520565,18.227883565420505,21.65405510663449,21.012792575353973,20.71042774915158,20.55791972875058,18.93539785146176,18.61448167561948,18.44600318669736,18.36291550397336,2179.605812251902,3934.4403907270816,5197.911732661309,5981.803031434014,26658.816138889582,35826.743114776466,41840.679151795535,45168.30552153886,1.3899664544215986,0.72740290733325,1.0,4.0,0.9116557,0.9636643,25.618158,1.613808494371326e-08,1.3950440256148017e-07,0.1036868865461609,0.1156815527362591,0.1260342279739882,0.2275063474173076,0.3005657209300882,0.3458937036786159,0.1783263484980918,0.2396525128854936,0.2798809779454341,0.3021401606709805,18,0.13524201407645056
14,1250001326,0.0745272631896345,8612742.0,10784509.0,12289885.0,13461016.0,1401811.4,2531385.2,3364442.0,3988808.0,7.765131455336683e-09,9.723167815369333e-09,1.1080394451839262e-08,1.2136270209874777e-08,1.2638541580961434e-09,2.282262723189353e-09,3.0333353199998123e-09,3.59625533113611e-09,20.045603,19.736256,19.560596,19.442703,10014553.0,13315894.0,15654327.0,17449824.0,20.03285960521227,19.723512690920888,19.54785184230333,19.42995981540209,22.16771439876085,21.52604178752428,21.21715502109057,21.032330554385243,20.196584027667104,19.952437442202623,19.81056885089404,19.71174315776354,1358.045248873061,2452.354698684767,3259.4024793088533,3864.27280190853,8343.848095898727,10447.804154990074,11906.180428402216,13040.755033299389,1.046333639784966,0.52282711995849,1.0,4.0,0.34883195,0.8328974,54.209362,1.0175707532421421e-08,4.070496393242005e-08,0.1999916125213251,0.2499869291762197,0.1242030277328888,0.2242855154527292,0.2980958527458346,0.3534156040685472,0.1907662897285753,0.2388692617064682,0.2722122741282511,0.2981521744367053,22,0.17168011268888692
16,1250001768,0.0866148793489223,14616194.0,18740268.0,21396968.0,22862100.0,1571523.0,2642320.8,3334876.0,3717709.8,9.588986531618193e-09,1.2294593651618841e-08,1.4037527624494738e-08,1.4998731214701466e-08,1.031001140743413e-09,1.733500362177349e-09,2.187852826642627e-09,2.4390116504514768e-09,19.853495,19.551308,19.393318,19.315079,16187717.0,21382588.0,24731844.0,26579810.0,19.8445008970316,19.54231369267064,19.3843232370432,19.30608498821812,22.3766635633524,21.812500832181744,21.559765217405133,21.44177663097935,19.955378649335675,19.685525772672467,19.541584131818585,19.469674704175763,1120.300615713205,1883.647645734148,2377.3543167070616,2650.2652831211703,10419.53985687906,13359.484208087268,15253.389044361877,16297.84256757341,0.9644457171891754,0.4983796896654504,1.0,4.0,0.5010432,0.95402944,52.25366,7.391365980014866e-09,5.091983902243325e-08,0.1267572155249501,0.1451568904393925,0.1394871630375886,0.2345305024211031,0.2960012736952068,0.3299810608461012,0.1883154113316133,0.2414498911065825,0.2756789907755589,0.2945557067862452,29,0.12173534776882011
17,1250001774,0.0862170877998171,17761220.0,22375798.0,25446000.0,28466308.0,3710784.0,7042128.0,9491510.0,11579138.0,1.1766703172633062e-08,1.4823833771813036e-08,1.6857825034471897e-08,1.8858761552013844e-08,2.4583724687321924e-09,4.665368180009427e-09,6.2880691198105045e-09,7.67111086162367e-09,19.583908,19.24206,19.055359,18.907206,21472004.0,29417926.0,34937510.0,40045450.0,19.527572244766976,19.185722917679573,18.999023288849617,18.850869983795903,21.4335893098152,20.73799356854322,20.41391477024916,20.19806250965956,19.733571857575203,19.482806772354863,19.34320434964064,19.221426099900032,2670.325949142184,5067.602860088597,6830.210555159527,8332.49374150374,12781.189000243729,16101.90615114356,18311.26130530564,20484.697735013226,1.907247693201,0.8614103673404456,1.0,4.0,0.7722529,0.98465955,40.172,2.10829206301758e-08,6.230712353093184e-08,0.2528229939469043,0.3383710570337794,0.1166048963272945,0.2212865835042928,0.2982542239586206,0.3638542962097919,0.1888499943282307,0.2379156497301759,0.2705602423674181,0.3026741135741752,31,0.18620612506848722
20,1250001789,0.0864114372196154,20025284.0,28109896.0,33691856.0,38580628.0,15201379.0,31500260.0,44052556.0,54397396.0,1.3203378253381529e-08,1.85338489227694e-08,2.221423246384806e-08,2.5437573576716112e-08,1.0022806802848503e-08,2.0769235985387343e-08,2.904540954856073e-08,3.586612672572019e-08,19.030224,18.459103,18.17073,17.976452,35226664.0,59610156.0,77744420.0,92978024.0,18.99506906038121,18.423948082979475,18.135574851091658,17.94129708772496,19.907541070040025,19.116463456209456,18.75232079988316,18.523303065355574,19.60830191140965,19.24010017877416,19.043435845430647,18.89632442956761,10888.889032575436,22563.92344172682,31555.253979926303,38965.36725197665,14344.29589952074,20135.38456002419,24133.79735885512,27635.68464074928,1.2584470802889438,0.6866140473859418,1.0,4.0,0.09446059,0.5634087,136.4088,9.570357906251676e-08,7.93890332167151e-08,0.5465883329782749,1.205500792607125,0.1047276082402343,0.2170162380660146,0.3034934295725107,0.3747627241212403,0.1663122920911227,0.2334560010314421,0.2798148604664509,0.3204168464109843,34,0.15805894152573258
21,1250001796,0.0925038528965072,11716706.0,17337714.0,21308600.0,24448150.0,1098802.6,2374202.0,3375529.0,4264394.5,6.683337896850387e-09,9.889622129982445e-09,1.2154659273765604e-08,1.3945493429986029e-08,6.26769074352516e-10,1.3542708085633711e-09,1.925438731844793e-09,2.432457416597675e-09,20.280865,19.813381,19.569159,19.405024,12815509.0,19711916.0,24684128.0,28712544.0,20.244133808616866,19.77665100336479,19.532428123955,19.36829362154411,22.911173441414107,22.07467828035759,21.69261846781181,21.43882904291557,20.341458656791914,19.915993549827803,19.69208512545036,19.5428577446978,684.7477650514616,1479.5467347283677,2103.548902950264,2657.4700754598,7301.574777194874,10804.447910889829,13279.01770099194,15235.5066869101,0.6598846332182071,0.3679995339437084,1.0,4.0,0.655429,0.87639356,12.731712,6.3389360313583575e-09,4.267311273058446e-08,0.1293342390592015,0.148546379494482,0.0988760678065995,0.2136432869628141,0.3037478244956039,0.3837328207349824,0.1566170977207549,0.2317529198719971,0.2848318720788174,0.3267981103284303,35,0.1527350432398299
22,1250001808,0.0931725175628948,17222296.0,25263088.0,30952082.0,35420100.0,2457678.5,4871431.5,6678085.5,8116153.5,9.674180409190336e-09,1.4190887942910913e-08,1.7386533071457366e-08,1.9896327526818726e-08,1.3805374925310261e-09,2.7364008232107476e-09,3.751242298349036e-09,4.5590397875060845e-09,19.829659,19.36706,19.12588,18.967592,19679974.0,30134520.0,37630170.0,43536252.0,19.794409256869105,19.331809264117027,19.090629797869468,18.932342511111045,22.053158265047813,21.31032941907003,20.96783993809774,20.756094437533164,19.939242583208824,19.523254614764,19.302746039324543,19.156346302920127,1509.164893433216,2991.356902750213,4100.756904177511,4983.818581739932,10575.550093432452,15513.084356682688,19006.475242568384,21750.111057469705,1.282152529484726,0.6319426479984965,1.0,4.0,0.82765657,0.99900806,118.57202,1.2427220401596892e-08,6.114792895037731e-08,0.1689051332012476,0.20323214030331,0.1110897376805409,0.2201939993975231,0.30185701427258,0.3668592486493558,0.1582095170716929,0.2320746970776834,0.2843355894299267,0.325380196420697,36,0.1203724132043607
